"Id","dow_number","day_of_week","part_of_week","time_of_day","total_calories","total_intensity","total_average_intensity","average_intensity","max_intensity","min_intensity"
1844505072,4,"Thursday","Weekday","Evening",584172,182019,3033.6507309998633,0.3458334166666511,1.116667,0
1844505072,4,"Thursday","Weekday","Morning",1606473,260967,4349.450000000374,0.18030303030304579,0.616667,0
1844505072,5,"Friday","Weekday","Morning",1363068,133773,2229.5492689996427,0.10892853571426826,0.6,0
1844505072,5,"Friday","Weekday","Afternoon",1168344,154972,2582.866422999915,0.14722220833332847,0.45,0
1844505072,5,"Friday","Weekday","Evening",584172,100878,1681.2999999999568,0.19166666666666174,0.566667,0
1844505072,5,"Friday","Weekday","Night",1557792,81872,1364.5335770000029,0.05833334375000012,0.466667,0
1844505072,6,"Saturday","Weekend","Evening",584172,21199,353.31715399998524,0.04027783333333165,0.216667,0
1844505072,6,"Saturday","Weekend","Afternoon",1168344,141083,2351.3835769999187,0.13402779166666204,0.683333,0
1844505072,6,"Saturday","Weekend","Morning",1363068,154972,2582.8678850001334,0.12619053571429223,0.516667,0
1844505072,6,"Saturday","Weekend","Night",1557792,26316,438.6007309999853,0.01875003124999937,0.266667,0
1927972279,0,"Sunday","Weekend","Afternoon",1616328,68448,1140.7999999999997,0.06458333333333331,0.916667,0
1927972279,0,"Sunday","Weekend","Morning",1885716,69184,1153.0669119998997,0.05595239285713799,0.516667,0
1927972279,0,"Sunday","Weekend","Night",2155104,0,0,0,0,0
1927972279,0,"Sunday","Weekend","Evening",808164,12512,208.53382400000592,0.02361116666666734,0.2,0
1927972279,1,"Monday","Weekday","Afternoon",1616328,44160,735.9999999999924,0.041666666666666234,0.25,0
1927972279,1,"Monday","Weekday","Morning",1885716,61824,1030.400736000027,0.05000003571428703,1.05,0
1927972279,1,"Monday","Weekday","Night",2155104,0,0,0,0,0
1927972279,1,"Monday","Weekday","Evening",808164,31648,527.4669119999971,0.05972224999999968,0.516667,0
1927972279,2,"Tuesday","Weekday","Evening",1010205,40480,674.6669120000129,0.0611111333333345,0.416667,0
1927972279,2,"Tuesday","Weekday","Morning",2357145,55200,920.000000000014,0.03571428571428626,0.666667,0
1927972279,2,"Tuesday","Weekday","Afternoon",2020410,104512,1741.8669120000366,0.07888890000000165,0.6,0
